nowtime,current_price,old_price,price_per_unit,product_name,brand,vendor,month
2024-04-12T14:00:00Z,31.9,32.42,21.27,Pure Olive Oil 1L,BrandE,Walmart,04
2024-04-14T14:00:00Z,16.93,22.55,16.93,Classic Olive Oil 2L,BrandC,Loblaws,04
2024-12-29T05:00:00Z,37.83,35.3,18.91,Pure Olive Oil 1L,BrandE,Loblaws,12
2024-05-04T09:00:00Z,22.63,33.69,22.63,Premium Olive Oil 1L,BrandA,Walmart,05
2024-03-17T17:00:00Z,16.35,14.97,8.18,Classic Olive Oil 2L,BrandC,Metro,03
2024-05-20T10:00:00Z,20.49,24.7,20.49,Pure Olive Oil 1L,BrandA,Loblaws,05
2024-07-17T08:00:00Z,22.04,31.28,44.08,Extra Virgin Olive Oil 500ml,BrandD,Metro,07
2024-10-08T01:00:00Z,34.46,37.25,34.46,Premium Olive Oil 1L,BrandA,Loblaws,10
2024-04-24T20:00:00Z,38.22,48.61,76.44,Premium Olive Oil 1L,BrandE,Loblaws,04
2024-07-31T18:00:00Z,21.46,26.59,10.73,Pure Olive Oil 1L,BrandA,Loblaws,07
2024-04-30T07:00:00Z,17.99,21.03,35.98,Extra Virgin Olive Oil 500ml,BrandD,Walmart,04
2024-09-14T01:00:00Z,12.91,18.92,8.61,Premium Olive Oil 1L,BrandE,Loblaws,09
2024-04-16T22:00:00Z,5.16,5.83,5.16,Premium Olive Oil 1L,BrandB,Metro,04
2024-05-04T03:00:00Z,29.83,33.02,19.89,Premium Olive Oil 1L,BrandA,Loblaws,05
2024-03-08T05:00:00Z,29.37,43.06,14.69,Organic Olive Oil 750ml,BrandA,Metro,03
2024-01-24T02:00:00Z,5.51,5.26,11.02,Extra Virgin Olive Oil 500ml,BrandD,Metro,01
2024-07-05T04:00:00Z,11.57,16.56,23.14,Extra Virgin Olive Oil 500ml,BrandB,Metro,07
2024-11-20T12:00:00Z,23.79,25.67,11.89,Premium Olive Oil 1L,BrandD,Loblaws,11
2024-02-13T14:00:00Z,10.57,10.51,21.14,Extra Virgin Olive Oil 500ml,BrandD,Loblaws,02
2024-10-21T10:00:00Z,13.61,13.16,9.07,Premium Olive Oil 1L,BrandB,Loblaws,10
2024-05-05T03:00:00Z,37.28,35.39,37.28,Premium Olive Oil 1L,BrandA,Loblaws,05
